id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
462000,274999.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8200,51.2038709,3.2084448,1977.0,102.0,,2,2,USA_SEMI_EQUIPPED,0,0,1,,0,0.0,0,0,GOOD,240.0,C,GAS,0,932.0
79261000,289000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,51.2248123,4.4120392,,70.0,,2,2,MISSING,0,0,0,0.0,0,0.0,0,0,AS_NEW,155.0,B,GAS,1,
21625000,269000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,,,,91.0,,4,1,INSTALLED,0,0,1,22.0,0,0.0,0,1,MISSING,150.0,C,GAS,1,
40585000,425000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1050,50.8347176,4.3620329,2024.0,78.0,,2,1,USA_HYPER_EQUIPPED,0,0,1,12.0,0,0.0,0,0,AS_NEW,126.0,C,GAS,1,
72423000,172000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Mons,7334,50.4554498,3.7860612,2024.0,65.0,,2,1,USA_HYPER_EQUIPPED,0,1,0,0.0,0,0.0,0,1,MISSING,,A,ELECTRIC,1,
52156000,149500.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2640,51.1685616,4.474372,1965.0,73.0,,2,2,INSTALLED,0,0,0,0.0,0,0.0,0,0,TO_RENOVATE,856.0,F,GAS,1,520.0
16636000,249000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1140,50.8782927,4.4041009,1983.0,75.0,,2,2,INSTALLED,0,0,1,20.0,0,0.0,0,0,JUST_RENOVATED,245.0,E,GAS,1,1103.0
6169000,225000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2140,51.2110155,4.4526081,,,,3,3,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,223.0,C,FUELOIL,1,974.0
28963000,251700.0,APARTMENT,APARTMENT,Flanders,West Flanders,Veurne,8660,51.1021115,2.5921128,,78.0,,2,2,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
52427000,445000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1050,,,2015.0,82.0,,2,1,USA_HYPER_EQUIPPED,1,0,1,10.0,0,0.0,0,0,AS_NEW,74.0,B,MISSING,0,
17958000,329000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1190,,,2013.0,94.0,,2,2,USA_HYPER_EQUIPPED,0,0,1,10.0,0,0.0,0,1,AS_NEW,99.0,C,GAS,1,1605.0
44804000,285000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.1980565,4.4695897,1999.0,105.0,,2,3,MISSING,0,0,1,11.0,0,0.0,0,0,AS_NEW,176.0,B,GAS,1,981.0
38288000,169000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4030,50.6299128,5.6059578,,75.0,,3,2,USA_HYPER_EQUIPPED,0,0,1,6.0,0,0.0,0,1,MISSING,17431.0,C,GAS,1,735.0
71622000,179000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1020,50.9008118,4.3582515,1973.0,80.0,,1,2,INSTALLED,0,0,1,18.0,0,0.0,0,1,MISSING,162.0,D,GAS,1,1135.0
6022000,269000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9300,50.9631306,4.0399199,2022.0,82.0,,2,2,USA_HYPER_EQUIPPED,0,0,1,,0,0.0,0,1,AS_NEW,,MISSING,MISSING,1,
53805000,315500.0,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8540,50.8531793,3.3566209,2020.0,112.0,,2,2,MISSING,0,0,1,13.0,0,0.0,0,0,GOOD,,MISSING,GAS,1,1.0
73285000,249950.0,APARTMENT,APARTMENT,Flanders,Limburg,Hasselt,3970,51.1172349,5.2585514,,303.0,,2,5,MISSING,0,1,0,0.0,0,0.0,0,0,MISSING,638.0,F,ELECTRIC,1,
