Actual Price,Predicted Price,Absolute Error,Percentage Error
149000.0,200921.97,51921.96875,34.84695889261745
285000.0,263297.38,21702.625,7.614956140350877
1390000.0,433306.4,956693.59375,68.82687724820144
1200000.0,572082.6,627917.375,52.326447916666666
259000.0,297943.62,38943.625,15.036148648648648
195000.0,184385.53,10614.46875,5.443317307692308
526035.0,563338.8,37303.8125,7.091507694354939
154000.0,342314.44,188314.4375,122.28210227272727
333396.0,261145.86,72250.140625,21.670968045507443
387000.0,487788.0,100788.0,26.04341085271318
239000.0,271568.25,32568.25,13.626882845188284
457954.0,530095.0,72141.0,15.75289221188154
469000.0,400900.7,68099.3125,14.520109275053306
499000.0,534177.94,35177.9375,7.049686873747494
235000.0,271384.62,36384.625,15.48281914893617
199000.0,235672.25,36672.25,18.428266331658293
200000.0,229468.23,29468.234375,14.7341171875
255000.0,331147.6,76147.59375,29.861801470588233
259000.0,273790.84,14790.84375,5.710750482625483
115000.0,266778.72,151778.71875,131.9814945652174
338000.0,318324.25,19675.75,5.821227810650888
190000.0,145128.23,44871.765625,23.616718749999997
279000.0,337789.62,58789.625,21.07155017921147
579000.0,600777.9,21777.875,3.761291018998273
675000.0,444047.84,230952.15625,34.21513425925926
375000.0,534605.6,159605.625,42.5615
649000.0,357125.2,291874.8125,44.97300654853621
314000.0,317930.44,3930.4375,1.2517316878980893
450000.0,465824.28,15824.28125,3.5165069444444446
439000.0,342144.94,96855.0625,22.06265660592255
170000.0,273770.03,103770.03125,61.041194852941175
399000.0,440706.8,41706.8125,10.45283521303258
288830.0,309435.44,20605.4375,7.1341057023162415
199000.0,201706.45,2706.453125,1.3600266959798994
225000.0,229522.23,4522.234375,2.0098819444444445
1047510.0,587642.3,459867.6875,43.90103077774914
149000.0,356709.88,207709.875,139.40260067114093
234900.0,271967.16,37067.15625,15.779972860791828
242000.0,221637.12,20362.875,8.414411157024794
399000.0,534002.94,135002.9375,33.83532268170426
431330.0,397364.22,33965.78125,7.874662381471263
169000.0,165085.92,3914.078125,2.3160225591715977
539000.0,426746.22,112253.78125,20.826304499072357
349000.0,436773.03,87773.03125,25.149865687679085
280000.0,362552.9,82552.90625,29.48318080357143
225000.0,205833.44,19166.5625,8.518472222222222
365000.0,340579.44,24420.5625,6.690565068493151
430000.0,438623.94,8623.9375,2.005566860465116
675000.0,755293.44,80293.4375,11.895324074074074
224000.0,215085.2,8914.796875,3.9798200334821425
269000.0,377685.72,108685.71875,40.403612918215615
599000.0,385929.4,213070.59375,35.57105070951586
376600.0,314702.8,61897.1875,16.435790626659585
1195000.0,559865.2,635134.8125,53.149356694560666
320000.0,304752.22,15247.78125,4.764931640625
4200000.0,2192109.0,2007891.0,47.80692857142857
259000.0,454995.3,195995.3125,75.67386583011583
469000.0,262168.84,206831.15625,44.10045975479744
330000.0,351763.75,21763.75,6.595075757575758
343500.0,290950.47,52549.53125,15.298262372634644
434700.0,479029.38,44329.375,10.197693811824246
360000.0,415657.28,55657.28125,15.460355902777778
342500.0,385090.28,42590.28125,12.435118613138686
625000.0,445136.62,179863.375,28.77814
349000.0,289375.9,59624.09375,17.084267550143267
440000.0,474139.34,34139.34375,7.758941761363635
99000.0,295587.75,196587.75,198.57348484848484
256500.0,266892.1,10392.09375,4.051498538011696
640485.0,602962.25,37522.75,5.858490050508599
495000.0,429466.44,65533.5625,13.239103535353536
369000.0,421461.6,52461.59375,14.217234078590785
249000.0,238917.94,10082.0625,4.049021084337349
195000.0,233603.33,38603.328125,19.796578525641024
1195000.0,928565.25,266434.75,22.295794979079496
660000.0,424662.94,235337.0625,35.65713068181818
650000.0,365642.62,284357.375,43.74728846153847
329000.0,270471.56,58528.4375,17.789798632218844
398000.0,331815.84,66184.15625,16.62918498743719
329000.0,218214.77,110785.234375,33.67332351823708
239000.0,255384.72,16384.71875,6.855530857740585
281000.0,318239.47,37239.46875,13.252479982206406
225000.0,270954.84,45954.84375,20.424375
370000.0,257669.34,112330.65625,30.359636824324326
322000.0,285338.28,36661.71875,11.385626940993788
377500.0,406688.28,29188.28125,7.731995033112583
695000.0,586222.6,108777.375,15.651420863309355
550000.0,541224.6,8775.375,1.5955227272727273
235000.0,224911.92,10088.078125,4.29279920212766
110000.0,104308.42,5691.578125,5.1741619318181815
945000.0,1215721.5,270721.5,28.647777777777776
845000.0,935663.94,90663.9375,10.729460059171597
815000.0,601112.9,213887.125,26.243819018404906
189000.0,187340.1,1659.90625,0.8782572751322751
395000.0,372721.9,22278.09375,5.640023734177215
360000.0,298890.94,61109.0625,16.974739583333335
253575.0,252491.02,1083.984375,0.42748077491866315
429500.0,304938.22,124561.78125,29.001578870779976
385000.0,314875.75,70124.25,18.21409090909091
279000.0,318488.94,39488.9375,14.153741039426523
319000.0,275959.62,43040.375,13.492280564263323
423000.0,345054.94,77945.0625,18.426728723404256
170000.0,195086.19,25086.1875,14.75658088235294
589000.0,381782.88,207217.125,35.18117572156197
479000.0,469144.75,9855.25,2.057463465553236
355000.0,247196.16,107803.84375,30.367279929577464
210000.0,242763.06,32763.0625,15.601458333333335
260000.0,286501.6,26501.59375,10.192920673076923
395000.0,459260.4,64260.40625,16.268457278481012
2650000.0,1809311.0,840689.0,31.724113207547173
491000.0,389322.72,101677.28125,20.708203920570263
135000.0,154601.62,19601.625,14.519722222222223
149500.0,163656.9,14156.90625,9.469502508361204
490000.0,566764.75,76764.75,15.66627551020408
100000.0,221426.28,121426.28125,121.42628124999999
710000.0,715768.06,5768.0625,0.8124031690140846
150000.0,233832.12,83832.125,55.88808333333334
